Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,longName,sector,industry,country,marketCap,beta,trailingPE,forwardPE,dividendYield,returnOnEquity,trailingEps,totalRevenue
2025-07-07 00:00:00-04:00,179.05999755859375,179.3000030517578,175.67999267578125,176.7899932861328,34175600,0.0,0.0,Alphabet Inc.,Communication Services,Internet Content & Information,United States,2376022622208,1.014,20.927427,21.885044,0.43,0.34829,9.37,371399000064
2025-07-08 00:00:00-04:00,177.85000610351562,177.9499969482422,172.80999755859375,174.36000061035156,40442500,0.0,0.0,Alphabet Inc.,Communication Services,Internet Content & Information,United States,2376022622208,1.014,20.927427,21.885044,0.43,0.34829,9.37,371399000064
2025-07-09 00:00:00-04:00,175.25,179.44000244140625,172.77000427246094,176.6199951171875,43025600,0.0,0.0,Alphabet Inc.,Communication Services,Internet Content & Information,United States,2376022622208,1.014,20.927427,21.885044,0.43,0.34829,9.37,371399000064
2025-07-10 00:00:00-04:00,175.6300048828125,178.42999267578125,174.3800048828125,177.6199951171875,29252400,0.0,0.0,Alphabet Inc.,Communication Services,Internet Content & Information,United States,2376022622208,1.014,20.927427,21.885044,0.43,0.34829,9.37,371399000064
2025-07-11 00:00:00-04:00,176.7899932861328,181.42999267578125,176.47999572753906,180.19000244140625,34282900,0.0,0.0,Alphabet Inc.,Communication Services,Internet Content & Information,United States,2376022622208,1.014,20.927427,21.885044,0.43,0.34829,9.37,371399000064
2025-07-14 00:00:00-04:00,181.00999450683594,183.6699981689453,179.67999267578125,181.55999755859375,32536600,0.0,0.0,Alphabet Inc.,Communication Services,Internet Content & Information,United States,2376022622208,1.014,20.927427,21.885044,0.43,0.34829,9.37,371399000064
2025-07-15 00:00:00-04:00,182.80999755859375,184.22000122070312,181.60000610351562,182.0,33448300,0.0,0.0,Alphabet Inc.,Communication Services,Internet Content & Information,United States,2376022622208,1.014,20.927427,21.885044,0.43,0.34829,9.37,371399000064
2025-07-16 00:00:00-04:00,183.24000549316406,184.3300018310547,182.02999877929688,182.97000122070312,33104200,0.0,0.0,Alphabet Inc.,Communication Services,Internet Content & Information,United States,2376022622208,1.014,20.927427,21.885044,0.43,0.34829,9.37,371399000064
2025-07-17 00:00:00-04:00,182.13999938964844,184.05999755859375,180.47999572753906,183.5800018310547,31992600,0.0,0.0,Alphabet Inc.,Communication Services,Internet Content & Information,United States,2376022622208,1.014,20.927427,21.885044,0.43,0.34829,9.37,371399000064
2025-07-18 00:00:00-04:00,185.39999389648438,186.4199981689453,183.7100067138672,185.05999755859375,34014500,0.0,0.0,Alphabet Inc.,Communication Services,Internet Content & Information,United States,2376022622208,1.014,20.927427,21.885044,0.43,0.34829,9.37,371399000064
